freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
42.31,0.0,1.63,1.5796,34.0,南充市,511300,1,up,25.97,0,up
42.04,0.0,1.61,1.5921,2.0,香港,810000,0,down,26.15,1,up
41.71,0.0,1.53,1.5095,1.0,德阳市,510600,2,flat,27.3,2,up
52.8,0.0,1.52,1.4517,0.0,鄂尔多斯市,150600,4,up,34.82,3,flat
41.45,0.0,1.49,1.4819,0.0,咸阳市,610400,3,down,27.9,4,flat
41.55,0.0,1.43,1.4353,-1.0,漳州市,350600,5,flat,29.13,5,down
37.71,0.0,1.43,1.418,-1.0,海口市,460100,7,up,26.45,6,down
41.42,0.0,1.42,1.4215,-3.0,银川市,640100,6,down,29.2,7,down
41.78,0.0,1.42,1.3999,6.0,清远市,441800,9,up,29.52,8,up
40.47,0.0,1.41,1.4032,0.0,宿迁市,321300,8,down,28.7,9,flat
45.01,0.0,1.41,1.3934,5.0,中山市,442000,13,up,31.93,10,up
42.6,0.0,1.41,1.3912,2.0,湛江市,440800,14,up,30.26,11,up
38.9,0.0,1.4,1.3847,-1.0,柳州市,450200,17,up,27.71,12,down
38.32,0.0,1.4,1.3972,0.0,南阳市,411300,10,down,27.36,13,flat
38.25,0.0,1.4,1.3943,1.0,桂林市,450300,11,down,27.34,14,up
46.66,0.0,1.38,1.3905,-3.0,长春市,220100,15,flat,33.8,15,down
42.54,0.0,1.38,1.3555,-13.0,茂名市,440900,23,up,30.86,16,down
45.19,0.0,1.37,1.3938,-2.0,成都市,510100,12,down,32.87,17,down
45.87,0.0,1.37,1.3869,0.0,济南市,370100,16,down,33.44,18,flat
43.55,0.0,1.37,1.3384,1.0,韶关市,440200,28,up,31.77,19,up
40.4,0.0,1.37,1.3431,2.0,新乡市,410700,26,up,29.53,20,up
43.67,0.0,1.36,1.3565,-5.0,西安市,610100,21,flat,32.18,21,down
41.59,0.0,1.36,1.3344,-3.0,赣州市,360700,29,up,30.66,22,down
42.98,0.0,1.36,1.3672,-4.0,沈阳市,210100,19,down,31.7,23,down
40.36,0.0,1.35,1.362,0.0,昆明市,530100,20,down,29.83,24,flat
47.09,0.0,1.35,1.3266,2.0,肇庆市,441200,32,up,34.96,25,up
41.3,0.0,1.35,1.3563,-2.0,保定市,130600,22,down,30.69,26,down
39.74,0.0,1.34,1.3675,3.0,汕头市,440500,18,down,29.61,27,up
43.08,0.0,1.34,1.3164,-30.0,廊坊市,131000,39,up,32.15,28,down
46.05,0.0,1.33,1.3388,0.0,大连市,210200,27,down,34.54,29,flat
41.18,0.0,1.33,1.3182,-2.0,三亚市,460200,38,up,30.96,30,down
49.85,0.0,1.33,1.3325,3.0,太原市,140100,30,down,37.5,31,up
