freeFlowSpeed,healthValue,idx,idx1,idxRatio,label,name,rank1,rankState,realSpeed,value,idxRatioState
45.3,0.0,1.45,1.4399,13.0,中山市,442000,0,flat,31.31,0,up
42.69,0.0,1.43,1.4281,3.0,茂名市,440900,1,flat,29.94,1,up
37.91,0.0,1.41,1.4032,1.0,海口市,460100,4,up,26.93,2,up
43.13,0.0,1.4,1.4236,0.0,深圳市,440300,2,down,30.75,3,flat
41.67,0.0,1.4,1.402,-6.0,咸阳市,610400,5,up,29.78,4,down
39.71,0.0,1.4,1.3741,10.0,温州市,330300,9,up,28.44,5,up
40.54,0.0,1.38,1.3948,3.0,昆明市,530100,6,flat,29.31,6,up
41.92,0.0,1.38,1.4137,-2.0,德阳市,510600,3,down,30.39,7,down
45.34,0.0,1.37,1.3914,-5.0,成都市,510100,7,down,33.0,8,down
42.98,0.0,1.36,1.3467,2.0,湛江市,440800,15,up,31.54,9,up
40.59,0.0,1.36,1.3764,-1.0,宿迁市,321300,8,down,29.84,10,down
42.28,0.0,1.35,1.3483,0.0,香港,810000,14,up,31.22,11,flat
38.49,0.0,1.35,1.3574,0.0,桂林市,450300,11,down,28.5,12,flat
43.85,0.0,1.35,1.3573,0.0,西安市,610100,12,down,32.49,13,flat
39.04,0.0,1.34,1.3536,1.0,柳州市,450200,13,down,29.07,14,up
47.27,0.0,1.34,1.3341,2.0,肇庆市,441200,19,up,35.28,15,up
41.7,0.0,1.34,1.3269,3.0,赣州市,360700,20,up,31.18,16,up
47.81,0.0,1.34,1.3593,0.0,重庆市,500000,10,down,35.77,17,flat
44.98,0.0,1.34,1.3368,3.0,东莞市,441900,18,flat,33.67,18,up
42.73,0.0,1.33,1.3384,0.0,长沙市,430100,16,down,32.06,19,flat
41.97,0.0,1.33,1.3374,1.0,清远市,441800,17,down,31.56,20,up
42.93,0.0,1.32,1.3221,9.0,南充市,511300,22,up,32.54,21,up
41.75,0.0,1.32,1.3258,-2.0,漳州市,350600,21,down,31.73,22,down
43.45,0.0,1.31,1.3133,0.0,廊坊市,131000,26,up,33.05,23,flat
51.43,0.0,1.31,1.3143,0.0,珠海市,440400,24,flat,39.22,24,flat
44.22,0.0,1.31,1.302,0.0,惠州市,441300,30,up,33.83,25,flat
41.81,0.0,1.31,1.3143,10.0,银川市,640100,25,down,32.0,26,up
41.41,0.0,1.3,1.3176,-1.0,三亚市,460200,23,down,31.9,27,down
41.91,0.0,1.3,1.2937,2.0,南宁市,450100,32,up,32.36,28,up
46.16,0.0,1.29,1.3031,1.0,济南市,370100,28,down,35.65,29,up
48.84,0.0,1.29,1.279,1.0,盐城市,320900,44,up,37.74,30,up
38.54,0.0,1.29,1.3019,-4.0,南阳市,411300,31,flat,29.97,31,down
43.01,0.0,1.29,1.2889,-3.0,广州市,440100,34,up,33.45,32,down
45.46,0.0,1.29,1.289,1.0,佛山市,440600,33,flat,35.37,33,up
43.76,0.0,1.28,1.3029,3.0,淄博市,370300,29,down,34.07,34,up
43.65,0.0,1.28,1.2439,2.0,泰安市,370900,65,up,34.05,35,up
42.83,0.0,1.28,1.3116,0.0,衢州市,330800,27,down,33.45,36,flat
42.11,0.0,1.28,1.284,2.0,衡阳市,430400,38,up,32.97,37,up
43.88,0.0,1.27,1.2589,2.0,连云港市,320700,54,up,34.45,38,up
47.88,0.0,1.27,1.2807,2.0,贵阳市,520100,41,up,37.6,39,up
49.05,0.0,1.27,1.2848,0.0,厦门市,350200,36,down,38.53,40,flat
41.11,0.0,1.27,1.2875,-13.0,新乡市,410700,35,down,32.31,41,down
41.79,0.0,1.27,1.2813,0.0,杭州市,330100,40,down,32.85,42,flat
42.75,0.0,1.27,1.2709,1.0,嘉兴市,330400,47,up,33.61,43,up
50.21,0.0,1.27,1.2825,3.0,太原市,140100,39,down,39.56,44,up
47.14,0.0,1.27,1.2646,1.0,泉州市,350500,52,up,37.15,45,up
46.51,0.0,1.27,1.2795,2.0,潍坊市,370700,43,down,36.65,46,up
43.82,0.0,1.27,1.2799,0.0,韶关市,440200,42,down,34.55,47,flat
48.78,0.0,1.27,1.2455,4.0,济宁市,370800,64,up,38.47,48,up
47.45,0.0,1.27,1.2715,1.0,唐山市,130200,46,down,37.44,49,up
40.39,0.0,1.26,1.2676,-4.0,汕头市,440500,50,flat,31.94,50,down
47.52,0.0,1.26,1.27,-1.0,江门市,440700,49,down,37.59,51,down
46.24,0.0,1.26,1.2841,1.0,台州市,331000,37,down,36.58,52,up
53.69,0.0,1.26,1.2773,-2.0,鄂尔多斯市,150600,45,down,42.6,53,down
42.75,0.0,1.26,1.2705,1.0,绍兴市,330600,48,down,33.97,54,up
46.74,0.0,1.26,1.2665,-2.0,绵阳市,510700,51,down,37.18,55,down
47.0,0.0,1.25,1.2541,1.0,淮安市,320800,55,down,37.54,56,up
41.42,0.0,1.25,1.2516,-1.0,上海市,310000,57,flat,33.13,57,down
51.22,0.0,1.25,1.2522,3.0,泰州市,321200,56,down,41.08,58,up
46.98,0.0,1.25,1.2595,1.0,长春市,220100,53,down,37.7,59,up
39.92,0.0,1.25,1.228,1.0,金华市,330700,78,up,32.04,60,up
46.48,0.0,1.25,1.2462,2.0,烟台市,370600,63,up,37.32,61,up
46.09,0.0,1.24,1.2489,4.0,徐州市,320300,59,down,37.04,62,up
41.44,0.0,1.24,1.2507,-1.0,滁州市,341100,58,down,33.31,63,down
46.41,0.0,1.24,1.2475,-1.0,南昌市,360100,62,down,37.41,64,down
41.56,0.0,1.24,1.2395,1.0,保定市,130600,66,up,33.55,65,up
42.83,0.0,1.24,1.2483,0.0,芜湖市,340200,61,down,34.64,66,flat
47.08,0.0,1.24,1.2484,-4.0,镇江市,321100,60,down,38.09,67,down
47.78,0.0,1.24,1.2345,1.0,扬州市,321000,72,up,38.66,68,up
43.3,0.0,1.24,1.2388,-1.0,沈阳市,210100,67,down,35.04,69,down
43.55,0.0,1.23,1.2369,-1.0,湖州市,330500,70,flat,35.3,70,down
43.01,0.0,1.23,1.237,0.0,宁波市,330200,69,down,34.98,71,flat
46.63,0.0,1.23,1.2372,-1.0,常州市,320400,68,down,37.92,72,down
45.32,0.0,1.23,1.2361,-1.0,邢台市,130500,71,down,36.87,73,down
45.92,0.0,1.23,1.2334,-2.0,南京市,320100,74,flat,37.38,74,down
46.13,0.0,1.23,1.2317,-1.0,北京市,110000,75,flat,37.64,75,down
46.41,0.0,1.23,1.2286,-3.0,大连市,210200,77,up,37.87,76,down
45.59,0.0,1.22,1.2335,0.0,青岛市,370200,73,down,37.25,77,flat
48.65,0.0,1.22,1.2297,-5.0,张家口市,130700,76,down,39.9,78,down
51.2,0.0,1.22,1.2179,4.0,南通市,320600,80,up,42.12,79,up
47.6,0.0,1.21,1.2209,-3.0,福州市,350100,79,down,39.24,80,down
51.91,0.0,1.21,1.2126,-1.0,郑州市,410100,81,flat,42.99,81,down
48.19,0.0,1.19,1.2015,0.0,天津市,120000,83,up,40.4,82,flat
46.59,0.0,1.19,1.2028,0.0,无锡市,320200,82,down,39.07,83,flat
48.66,0.0,1.19,1.1885,0.0,苏州市,320500,86,up,41.01,84,flat
48.55,0.0,1.18,1.1891,-2.0,石家庄市,130100,85,flat,41.06,85,down
46.32,0.0,1.18,1.1956,4.0,洛阳市,410300,84,down,39.29,86,up
44.58,0.0,1.17,1.1808,-6.0,哈尔滨市,230100,89,up,38.02,87,down
44.46,0.0,1.17,1.1708,1.0,合肥市,340100,90,up,38.09,88,up
43.39,0.0,1.17,1.183,-2.0,兰州市,620100,88,down,37.18,89,down
42.76,0.0,1.16,1.1691,-5.0,邯郸市,130400,91,up,36.86,90,down
48.87,0.0,1.16,1.1652,-1.0,武汉市,420100,92,up,42.24,91,down
50.18,0.0,1.15,1.1454,-1.0,临沂市,371300,93,up,43.57,92,down
44.42,0.0,1.13,1.1864,-13.0,德州市,371400,87,down,39.34,93,down
45.45,0.0,1.11,1.1403,-1.0,西宁市,630100,94,flat,40.97,94,down
52.53,0.0,1.1,1.1088,0.0,乌鲁木齐市,650100,95,flat,47.7,95,flat
